repo_name,commit,message,Is_Refactor,Is_Perfective,Is_Adaptive,Is_Corrective,Justification,Comment,Certain,Sampling
fedora-infra/bodhi,9a05069441c06d5a24c99a3468a1782c92755522,"Correct the test_singleton docstring
",,,,,,,,random_batch_18_nov_2020
alisw/AliPhysics,6f1556c82d8701cab422dc2d505677533f9df8b0,"Merge pull request #8907 from FrejaThoresen/forwardflow

switch for alieventcuts.",,,,,,,,random_batch_18_nov_2020
ElektraInitiative/libelektra,5858ed65df506459f53793ac80b594950678452a,"add checkconf example to template plugin
",,,,,,,,random_batch_18_nov_2020
billz/raspap-webgui,3d561b1925a0d0cc744a9091d1b9ff93198b9bcf,"Change hard ""wlan0"" to RASPI_WIFI_CLIENT_INTERFACE",,,,,,,,random_batch_18_nov_2020
PrinceOfAmber/CyclicMagic,5978fdf7b424a9ec5cbae87fe9fbe6bcc1ae28c5,"add diamond block and obsidian texture to main gem
",,,,,,,,random_batch_18_nov_2020
RoboJackets/apiary,47c9cc5c1256c6f09671e31c96f09f5448507d2e,"#78 Create migration to update concat statement
",,,,,,,,random_batch_18_nov_2020
google/llvm-propeller,3c023abe55d764bf6b41a6b96b7cc8025236f1bf,"Skip test_unique_stacks on Darwin, because it doesn't terminate reliably.

rdar://problem/33462362

llvm-svn: 309046
",,,,,,,,random_batch_18_nov_2020
hortonworks/cloudbreak,07ce1472350589080982add8e0435e442f305db2,"Merge branch 'rc-2.21' into CB-2.23.0
",,,,,,,,random_batch_18_nov_2020
heliopython/heliopy,174829c4c66569c7955e042860e173982c45d0d6,"Added units to helios.mag_ness, wind.swe_h1 and wind.swe_h3
",,,,,,,,random_batch_18_nov_2020
gryffon/ringteki,eb6f4c46bf98e5540195cbea203ebb817dd316ea,"Update from alsciende\fiveringsdb-data (2019-01-24)
",,,,,,,,random_batch_18_nov_2020
codenvy/che,892d16a23efe978d802b16a02ad1a861911e51a8,"Add keycloak realm & client id parameters (#10646)

When using an existing Keycloak instance, it may be necessary to specify a particular realm or client.
This allows them to be speicfied at install time via parameters.

Signed-off-by: David Martin <068521136dd233fa772986c5974ce7f7b9378fb6@redhat.com>",,,,,,,,random_batch_18_nov_2020
scylladb/scylla,ff567649fa34b10c18971b98a14985e84aafbce9,"Merge ""gossip: Limit number of pending gossip ACK and ACK2 messages"" from Asias

In a cross-dc large cluster, the receiver node of the gossip SYN message
might be slow to send the gossip ACK message. The ack messages can be
large if the payload of the application state is big, e.g.,
CACHE_HITRATES with a lot of tables. As a result, the unlimited ACK
message can consume unlimited amount of memory which causes OOM
eventually.

To fix, this patch queues the SYN message and handles it later if the
previous ACK message is still being sent. However, we only store the
latest SYN message. Since the latest SYN message from peer has the
latest information, so it is safe to drop the previous SYN message and
keep the latest one only. After this patch, there can be at most 1
pending SYN message and 1 pending ACK message per peer node.
",,,,,,,,random_batch_18_nov_2020
k9mail/k-9,f88c3594fca933014cc64b1168c60856cc0091bd,"Add support for RFC 2047 non-compliant splitting of UTF-8 encoded characters
",,,,,,,,random_batch_18_nov_2020
firewalla/firewalla,bb5b678fbc42940a615c65e3bf52a1743713527a,"Merge branch 'master' of https://github.com/MelvinTo/firewalla
",,,,,,,,random_batch_18_nov_2020
stinsonga/emacs-mirror,af9ec10ee913da92d1eda975c733ad039c4e4002,"Support auto-configuration of both Kerberos V4 and
Kerberos V5 for movemail, including detection of V4 and V5 header
files and libraries.
",,,,,,,,random_batch_18_nov_2020
c2mon/c2mon,11aea7e8685cc0045e7135e60d9efca33dd9b067,"Set version to 1.5.0 before releasing

",,,,,,,,random_batch_18_nov_2020
ENCODE-DCC/encoded,a0b848817a9fd95759e05948cb720f35968a3e80,"Software with no download link no longer a link
",,,,,,,,random_batch_18_nov_2020
mirage/irmin,5feea0f2874fd13f6ae754cb64fa56e6cdc64b50,"Clean-up the Git store example.
",,,,,,,,random_batch_18_nov_2020
Taeung/tip,5ad587283cc15f71bb0e9cb9e0933dd8ebd66e1c,"Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/roland/infiniband

* 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/roland/infiniband:
  MAINTAINERS: neteffect update
  RDMA/nes: Fix interrupt moderation low threshold
  RDMA/nes: Fix CRC endianness for RDMA connection establishment on big-endian
  RDMA/nes: Fix use-after-free in mini_cm_dec_refcnt_listen()
  RDMA/nes: Fix use-after-free in nes_create_cq()
  RDMA/nes: Fix a check-after-use in nes_probe()
  RDMA/nes: Fix a memory leak in schedule_nes_timer()
  RDMA/nes: Fix off-by-one
  RDMA/nes: Resurrect error path dead code
  RDMA/cxgb3: Fix shift calc in build_phys_page_list() for 1-entry page lists
",,,,,,,,random_batch_18_nov_2020
WebAssembly/binaryen,9a4d9f5e59fa6c5a88148ee077936924b76bb8cd,"Add rotate support to s2wasm
",,,,,,,,random_batch_18_nov_2020
KC3Kai/kc3-translations,2df97a4f01b619a67d4d62aede1ac53828a0ded0,"[EN] Ooyodo/Akashi unique subs revised

A further refinement over what was done before.
Took a closer look at Ooyodo's to check for accuracy.
Did not check Akashi for accuracy; only did a basic proofreading.
",,,,,,,,random_batch_18_nov_2020
nrenner/brouter-web,0809b17577091d5f580a942bf75b0dd421540f50,"Fix broken route segment coloring (#250)

- with var instead of const all callbacks referenced last value in loop,
add closure
- cloning by property overwrites default when undefined, use L.extend
for Object.assign
",,,,,,,,random_batch_18_nov_2020
scop/bash-completion,669c3fe142f50d1f72c57c9639169691598622a0,"test: portinstall/upgrade test case and setup fixes
",,,,,,,,random_batch_18_nov_2020
Microsoft/vscode,d6bd346da29e9871879d0b103a42f1a68835c567,"Editor loses focus when you click or drag the window title bar (fixes #30967)
",,,,,,,,random_batch_18_nov_2020
mattsc/AI-demos,4e238515c8734af839c6bba607cc78580d3b395e,"Fred: move behavior output event content from WML to Lua

This way the behavior can be changed at will even for old saves.
",,,,,,,,random_batch_18_nov_2020
samuelclay/NewsBlur,1b6a5cb15e39e5e888c12ef4a8c6477d31f309c5,"Updating dependencies and fixing ios 9 warnings. Reachability and SBJson.
",,,,,,,,random_batch_18_nov_2020
polymonster/pmtech,3bc8e8da2787ad70e0b91e36eec9327a01a6e16c,"texture ui working and refactor to support technique samplers in post process as well as in a scene
",,,,,,,,random_batch_18_nov_2020
Taeung/tip,e83507b763541cbbdf5a9e047c69755fec52aed9,"gpio: gpio-omap.c: fix checkpatch error

Fix :
 gpio/gpio-omap.c:697: ERROR: space required before the open parenthesis '('

Signed-off-by: Laurent Navet <049659cdfcbbaec8e29d19668ed7e4a1a04d7a9f@gmail.com>
Acked-by: Santosh Shilimkar <5b4d8dc9ea337fff5fd1729321eda9873ade0b09@ti.com>
Signed-off-by: Linus Walleij <9cd9d802d23c0ed5e224beabf4ae4a5c478746ef@linaro.org>
",,,,,,,,random_batch_18_nov_2020
Azure/azure-resource-manager-schemas,1de35cbf796b4b1360a57775a523442c9b145cae,"fixed bug missing s in peerings.
",,,,,,,,random_batch_18_nov_2020
OpenSC/OpenSC,4317df10e63fda5f69e68ee4fc5d2c679990289c,"created opensc-asn1

fixes installation of egk-tool.exe on win32
",,,,,,,,random_batch_18_nov_2020
librenms/librenms,ae3ec7565a85975d43adb2a0b5aef9c34b0f9930,"add Riello UPS MIB

git-svn-id: 739fc08bb31dd03cfeeb6a72c94f1ec9dd35058d@1180 61d68cd4-352d-0410-923a-c4978735b2b8
",,,,,,,,random_batch_18_nov_2020
wekan/wekan,55545a52cadc131f85200153835d5940b74e5fc7,Update wekan-help,,,,,,,,random_batch_18_nov_2020
HubSpot/Singularity,29ada156add839b1d17d322c16f2cd70bdd2bf2c,"Merge branch 'master' into hs_staging

Conflicts:
	SingularityService/src/test/java/com/hubspot/singularity/scheduler/SingularitySchedulerTest.java
",,,,,,,,random_batch_18_nov_2020
concord-consortium/rigse,678ffe4d604c2553b0fa766ced2585463a4257ca,Trying to force update of Gemfile.lock Part II - removed dummy text,,,,,,,,random_batch_18_nov_2020
yahoo/athenz,acfde362d598b7d47542ac05a1e8b42e1777087b,"[maven-release-plugin] prepare release v1.7.20
",,,,,,,,random_batch_18_nov_2020
vuejs/vuejs.org,71776351eac55e7b688b3b053ad2482d35ec3708,"Merge pull request #248 from aryehshai/patch-2

Update index.md",,,,,,,,random_batch_18_nov_2020
19Inocybe63/Fungiquebec,7169715b1acb12ec80ecbd3cda1d5bfdeb4e3d10,Ajout et corr. Inocybe maculata,,,,,,,,random_batch_18_nov_2020
sitna/api-sitna,3e5ec807b05efd9af1ec82464b52b7213e5aee34,"Refactor layer and control loading
",,,,,,,,random_batch_18_nov_2020
KC3Kai/KC3Kai,41ea47abc6a4a33711baa8d2fbab0665213b2a5b,"Merge pull request #2695 from KC3Kai/update-cumulative

Cumulative update",,,,,,,,random_batch_18_nov_2020
Vizzuality/gfw,cd15ed1614d3c06d11f81f1c6f48493b61fe2382,"Howto: dropdown menu
",,,,,,,,random_batch_18_nov_2020
Taeung/tip,70a6f2e6d6b8653d394b63210ec57b4c78f3dcd8,"Input: xpad - don't resend successfully sent outgoing requests

This avoids an infinite loop.

Signed-off-by: Michael Gruber <87d5eac9bbd7bfc91d65653f3b27c041bbf7c36e@googlemail.com>
Signed-off-by: Dmitry Torokhov <10a8c465cefc9bdd6c925e26964d23c90f1141cc@mail.ru>
",,,,,,,,random_batch_18_nov_2020
etcd-io/etcd,5bd08a327da5ccf7c05b649a2320a30b7e36628f,"docs(standbys): specification for standby module
",,,,,,,,random_batch_18_nov_2020
kevinkahn/softconsole,452c602d5919041f590426776ca6ce2a6a889447,"Portrait versions of net screens
",,,,,,,,random_batch_18_nov_2020
OGRECave/ogre,f8d190183bbb7133cd6070be4f63923ad675c511,Main: deprecate complex StringConverter::toString for integer types,,,,,,,,random_batch_18_nov_2020
stoqs/stoqs,4b866dd97b85f5190f2f729c8e7bbd01dcd7183a,"Merge pull request #960 from MBARIMike/pyup-update-django-3.0.7-to-3.0.8

Update django to 3.0.8",,,,,,,,random_batch_18_nov_2020
glpi-project/glpi,3ba7924ca0e6b34e674fe2ba347d334ef3aca044,"fix small ui misalignment
",,,,,,,,random_batch_18_nov_2020
mongodb/node-mongodb-native,82bd06b38e8df627459b5376c62d1f9a7dc02978,"Minor fixes to avoid any hanging connections
",,,,,,,,random_batch_18_nov_2020
StamusNetworks/scirius,529820a6b64a98c97945649204405a2a13cd3c9e,"hunt: add enable/disable on rule page
",,,,,,,,random_batch_18_nov_2020
OpenGenus/cosmos,7683ded62c29ba94d56c2243c69a05107960c199,Rename insertion-at-nth-node.py to insertion_at_nth_node.py,,,,,,,,random_batch_18_nov_2020
apache/incubator-shardingsphere,509239e196c307668ba0cf9e6838f34bcfd2e1e2,"Merge remote-tracking branch 'origin/1.5.4-SNAPSHOT' into 2.0.0.M1
",,,,,,,,random_batch_18_nov_2020
cenit-io/cenit,e87e3528ece53431643f6144fc6d418777c7c4ed,"Merge pull request #950 from maryguirola/add_openapi

Added swagger spec.",,,,,,,,random_batch_18_nov_2020
ultrabug/py3status,8cf59bfbf1ddfdf6d4d95054f9b23d859d6a21c2,"fix grammar
",,,,,,,,random_batch_18_nov_2020
ubuntunux/PyEngine3D,9312943d2dcfb20c6fca108c64900d3c66185141,"navigation
",,,,,,,,random_batch_18_nov_2020
cxong/cdogs-sdl,870e26e29d2af7d05187fd456babc56b7a746eb2,"Greatly reduce bugs with screen edge impulse
",,,,,,,,random_batch_18_nov_2020
UM-USElab/gradecraft-development,a121180ad89868faf0fb9af50248a259f7cc9968,"Merge pull request #3198 from UM-USElab/replace-uservoice

Replace uservoice with zendesk",,,,,,,,random_batch_18_nov_2020
real-logic/Aeron,85774992c63a4328b0de0287f7859e8c5d0a50c5,"[Java]: add exception to log for exit from trauncation of log and abort.
",,,,,,,,random_batch_18_nov_2020
llvm-mirror/llvm,b01d49845cce53c154a939b47761cc40651bdc0f,"[Hexagon] Cache loads to select to avoid traversing mutating DAG


git-svn-id: 0ff597fd157e6f4fc38580e8d64ab130330d2411@321034 91177308-0d34-0410-b5e6-96231b3b80d8
",,,,,,,,random_batch_18_nov_2020
hydren/carse,2912f319ce747dd44f9c371c4539e2f634bbe196,"Templatized modf alias function.
",,,,,,,,random_batch_18_nov_2020
Ensembl/ensembl-compara,09dd6f4493ab654cf7fe8e8d3fa0c754f1ffb68e,"Added missing bracket
",,,,,,,,random_batch_18_nov_2020
etomica/etomica,3a017a97b106e9309832c67a30ff2c3a343ef523,"Bug 160: Add IAtomGroup interface
",,,,,,,,random_batch_18_nov_2020
KDE/kbibtex,843d90ce07542974a2bf9c1946f8015532a82454,"i18n: no need to translate the homepage
",,,,,,,,random_batch_18_nov_2020
openstack-infra/project-config,d761b8829b367611160cddc637f38b2a0af6919d,"Add an experimental grenade multinode job for Neutron Linuxbridge

https://etherpad.openstack.org/p/neutron-multinode-jobs-newton

Change-Id: I249a0e15ae951b5d58b2cfd8bda2fcca85afd528
",,,,,,,,random_batch_18_nov_2020
assetgraph/assetgraph,6da83f93df08683710eaac89e7aa12e309f91b74,"Merge pull request #884 from assetgraph/depfu/check/npm/cssnano-4.0.0

New version of cssnano (4.0.0) broke the build",,,,,,,,random_batch_18_nov_2020
etomica/etomica,88f87a38ddac7ac26d853d46ec327b6c8bd48708,"actually use the IRandom we have
",,,,,,,,random_batch_18_nov_2020
GeoNode/geonode,a4499d932ada320653398b8bee7eeb39542282e4,"[Hardening] Making helpers a bit more resilient to non critical errors

(cherry picked from commit 159dac77dc54246ad2b01411d60673e935664155)
",,,,,,,,random_batch_18_nov_2020
tannerlinsley/react-table,824ee34ba96b85125c9dfb05c36762424e1e35ef,"Refactor sortBy logic
",,,,,,,,random_batch_18_nov_2020
SatelliteQE/robottelo,4597ed73efe08c399ed7ccaa482d83eb1ff88854,"Check the virt-who status post upgrade via CLI (#7675)

* Check the virt-who stauts via CLI

* skip API assertion via is_open",,,,,,,,random_batch_18_nov_2020
openmole/openmole,8050557f26a888d747d8a309b7d7a2d9b7ff47e7,"Corrected bug.
",,,,,,,,random_batch_18_nov_2020
00-Evan/shattered-pixel-dungeon,626e8e34f03c6fc6a44b180aaf648151c2d99570,"v0.8.1a: added a safety check to gamescene's destroy function
",,,,,,,,random_batch_18_nov_2020
eth-cscs/production,9eacb6bae1ffc062396cd1a925fc136503d2d72c,"Merge pull request #553 from eth-cscs/victorusu-gromacs-2018

[daint-gpu] Adding GROMACS 2018",,,,,,,,random_batch_18_nov_2020
md-5/jdk10,70b1ef32c6f4590a972f4d04bf505e14fbf80455,"8155721: Sparse remset wastes half of entry memory
Summary: Only allocate as much SparsePRTEntry memory as required, not for the theoretical maximum.
Reviewed-by: mgerdin, sjohanss
",,,,,,,,random_batch_18_nov_2020
rancher/ui,bb9e744ccf937ca4752b9679eaf49b15668d7df1,"Implemented CRUD for project
",,,,,,,,random_batch_18_nov_2020
numpy/numpy,fdbaece7ff06959060d5c10a0e23ecc957b9ff69,"MAINT: Forward port accumulated changes from the 1.12.0 release.

The following files were updated during the NumPy 1.12.0 release

- .mailmap
- doc/release/1.12.0-notes.rst
- tools/announce.py
- pavement.py

and are forward ported to master by this PR.

[ci skip]
",,,,,,,,random_batch_18_nov_2020
Azure/azure-webjobs-sdk-script,986f6fe60d6017ed11a74fe7ebace29e7b5120d2,"Fix RedirectResult for AspNetCore 2.2. Fixes #3986
",,,,,,,,random_batch_18_nov_2020
aosp-mirror/platform_frameworks_support,7dc14e1b8266753bd990a8f79fc9039f0558f888,"Merge ""Make Font Resources XML working on Android N or before device."" into oc-dev am: 29eadfea58 am: 2785c339f8
am: 564750d9d1

Change-Id: I14e31fc2f1f1b07353a0f77f62311fdb3706fb75
",,,,,,,,random_batch_18_nov_2020
PX4/Firmware,9684367c8f8daf411fc20eb06a665bca76b75b67,"Merge remote-tracking branch 'upstream/master' into fw_autoland_att_tecs_navigator_termination_controlgroups
",,,,,,,,random_batch_18_nov_2020
apache/incubator-tinkerpop,2d1e9424eaabef082660d363453bad9e567a33c0,"Don't download nuget.exe on every build again TINKERPOP-1836
",,,,,,,,random_batch_18_nov_2020
filipw/dotnet-script,d361a0db99bb57cf3108cd41d3753522913a0283,"moar clean up
",,,,,,,,random_batch_18_nov_2020
aosp-mirror/platform_frameworks_support,db3b94d07ca3b6cf10fe5831957dec7881a69c79,"Merge ""Deprecate FingerprintManagerCompat"" into androidx-master-dev",,,,,,,,random_batch_18_nov_2020
tgstation/tgstation,cbcf4bd7c59f6172e5374e944e73fbae5f34c9a4,"Merge pull request #27825 from Steelpoint/MarineLight

Adds Lights To Crashed Marine Ship",,,,,,,,random_batch_18_nov_2020
llvm-mirror/lldb,f26f3b974eb0037269ec41a6419d765b257e5426,"Don't test the output of ""target modules dump symfile a.out"" as this isn't something we should be testing for. This makes this test pass again.



git-svn-id: 4c4cc70b1ef44ba2b7963015e681894188cea27e@245078 91177308-0d34-0410-b5e6-96231b3b80d8
",,,,,,,,random_batch_18_nov_2020
astropy/astropy,035d8ed970382b93eaf63190e0a08752629e039c,"Modified kernel 2D plot
",,,,,,,,random_batch_18_nov_2020
draios/sysdig,95504830e4f336fa6b957ffb9857da693420a4e8,"more logging
",,,,,,,,random_batch_18_nov_2020
OpenZeppelin/zep-solidity,74636b73335403956020bc866094f1a8a3d277d7,"[TokenVesting] Use SafeMath
",,,,,,,,random_batch_18_nov_2020
linbox-team/linbox,c37675497a75e6f57fe371b046ca251b3d4cc8b3,"2000-10-20  Bradford Hovinen  <hovinen@helixcode.com>

	* configure.in: Add support for Bonobo
	(CFLAGS): Added missing macros/Makefile, test/Makefile

	* main.c (bonobo_equation_factory_init):
	(equation_factory):
	(equation_view_factory):
	(view_activate_cb): Implement
	(main): Use Bonobo

	* canvas-renderer.c (canvas_renderer_new): Pass canvas
	(canvas_renderer_set_arg): Support setting canvas

	* math-expression-view.c (math_expression_view_render): Implement
	(math_expression_view_expose): Implement

	* layout.c (layout_render): Pass renderer, full rendering area,
	and clip area

	* math-expression-view.c (math_expression_view_realize): Implement

	* math-expression-view.[ch]: Inherit GtkWidget rather than GtkObject

	* math-expression-view.c (math_expression_view_new): Pass
	expression rather than renderer
",,,,,,,,random_batch_18_nov_2020
react-native-community/react-native-svg,779bf81f199ed9ea9844e807051936452733dd8c,Added documentation for fillRule property,,,,,,,,random_batch_18_nov_2020
feedbin/feedbin,39eb27dae8a82bb655f679cd5e3dffe1eb7671bc,"Optimize SVG images

Open Sans’ SVG version is untouched, because it contains
its license information that shouldn’t be stripped.
",,,,,,,,random_batch_18_nov_2020
OpenBazaar/openbazaar-go,9eb69289767642bef97fcfeb4feaf44e3228a911,"add the eth qa tests
",,,,,,,,random_batch_18_nov_2020
iomad/iomad,4ade5b11b21207ba7c677574e78d03d49087aaed,"Merge branch 'MDL-47814-master' of git://github.com/FMCorz/moodle
",,,,,,,,random_batch_18_nov_2020
opendaylight/yangtools,009172c50906ac1b5ad4dfd385fb0552e4985bc7,"Enable spotbugs in yang-data-transform

This just flips the enforcement switch.

Change-Id: Ie9eb853bcdd2425417f214a736558a86bebe23b9
Signed-off-by: Robert Varga <91ae5aa8c7a9f7e57b701db766e23e544aaa6ae9@pantheon.tech>
",,,,,,,,random_batch_18_nov_2020
transloadit/uppy,7211e98226d27e60a5153ee834bb37018059bf6e,"fix showLinkToFileUploadResult
",,,,,,,,random_batch_18_nov_2020
jollaman999/openwrt,9f95ea363c93630ca369c05ee3b909601560c679,"coldfire compile error fix

SVN-Revision: 16542
",,,,,,,,random_batch_18_nov_2020
stinsonga/emacs-mirror,2f5e0b1bf7b0ac4f450847db34d599a072020600,"Improve case-insensitive checks (Bug#24441)

* doc/lispref/files.texi (Truenames): Simplify documentation,
to avoid giving too much platform-specific information that
may not be accurate anyway.
* src/fileio.c (file_name_case_insensitive_p): Use pathconf with
_PC_CASE_SENSITIVE if _PC_CASE_INSENSITIVE is not available.
Otherwise if one approach fails (e.g., with errno == EINVAL), fall
back on an alternative rather than returning false.  Try skipping
the Darwin code, as it (1) no longer seems to be needed and (2)
does not seem to match the Apple documentation.  Leave in two
alternatives conditionally compiled based on
DARWIN_OS_CASE_SENSITIVE_FIXME in case (1) or (2) is incorrect.
",,,,,,,,random_batch_18_nov_2020
tboox/xmake,f5bcbc0e3416bfc42b0c6bf3cece2cd1b3d3b2e5,"update CONTRIBUTING.md
",,,,,,,,random_batch_18_nov_2020
terraform-providers/terraform-provider-aws,5cc8d4f530605d0ed8fe03adee95023ab1adfd94,"Add tags parameter at create request
",,,,,,,,random_batch_18_nov_2020
tuxbox-neutrino/gui-neutrino,9609466f48adb9bc7b056997e4223ee9a0d9317a,"*neutrino: trivial sort of includes and whitespace cleanups

git-svn-id: 87bed141ab341762ad88f5d3e9f28a496473d537@1503 e54a6e83-5905-42d5-8d5c-058d10e6a962
",,,,,,,,random_batch_18_nov_2020
moodle/moodle,2a420f5cd4edef189d9fa646357be3015ca9430b,"MDL-30042: Sanitize httpwwwroot in mnet jump
",,,,,,,,random_batch_18_nov_2020
apache/phoenix,74933f1baac4ef0b3282f44f86f724df8843fefc,"PHOENIX-3375 Upgrade from v4.8.1 to 4.9.0 fails
",,,,,,,,random_batch_18_nov_2020
lee-dohm/atom-style-tweaks,6039e27a16db3e0c0b26b03d68c4a1c745f6f50c,"Merge pull request #510 from lee-dohm/dependabot/hex/phoenix-1.4.10

Bump phoenix from 1.4.9 to 1.4.10",,,,,,,,random_batch_18_nov_2020
bazelbuild/intellij,1ec98722592e1971aaab003288ad5a56920a8eaa,"Trim logged command strings to 1000 chars.

Auto-generated lists of individual targets mean massive command strings in the logs and blaze console view.

PiperOrigin-RevId: 257831146
",,,,,,,,random_batch_18_nov_2020
Taeung/tip,04e30c9c8667494847f3876fe3e6c8b39fa6fd1b,"drm/amdgpu: Merge pre/postclose hooks

Again no apparent explanation for the split except hysterical raisins.
Merging them also makes it a bit more obviuos what's going on wrt the
runtime pm refdancing.

Cc: Alex Deucher <08dc22c6156113f2deff178e35e3ed9b24d6af9e@amd.com>
Cc: Christian König <c7ea837d7a46effe4232b086213468b8b31643bf@amd.com>
Cc: e388106442a10cdfd0fcad74ebe57d7fe1ba044c@lists.freedesktop.org
Reviewed-by: Christian König <c7ea837d7a46effe4232b086213468b8b31643bf@amd.com>
Signed-off-by: Daniel Vetter <c1b6782c4af8f0673da8923a0702a1832e5940f4@intel.com>
Signed-off-by: Alex Deucher <08dc22c6156113f2deff178e35e3ed9b24d6af9e@amd.com>
",,,,,,,,random_batch_18_nov_2020
steinbaugh/basejump,9171d56b75337dcab009e51b5d489cd281ece822,"version bump
",,,,,,,,random_batch_18_nov_2020
neos/flow-development-collection,38f2c163292d0fc4a2eab1344bfe76bcdd720793,"MERGE: Merge branch '2.3' into 3.0
",,,,,,,,random_batch_18_nov_2020
dgibbs64/linuxgsm,9a906b0ea432551af69fae0cffa3c519762e9e74,"fix(travis): correct test name
",,,,,,,,random_batch_18_nov_2020
terraform-providers/terraform-provider-aws,7f7342f5caf59deeb19ded391b3c630e7a5751ad,Update CHANGELOG for #7070,,,,,,,,random_batch_18_nov_2020
google/codeworld,26ddb62961ba64f766d59c9c6c92549158207f62,"Loading of Blockly programs from help
",,,,,,,,random_batch_18_nov_2020
GoogleCloudPlatform/terraformer,e13dcf6f7af7f4e0c98dda738c0bdca9c8e4fe87,"Merge pull request #191 from meshuga/ecs_es_orgs

Support for AWS ECS, Organizations and ES",,,,,,,,random_batch_18_nov_2020
CIDRAM/CIDRAM,2f3d96c865c942a9a392486c36aaa904727cd4db,"Signatures update.
",,,,,,,,random_batch_18_nov_2020
containers/storage,0d513b5a845f274c4ff06f6e7bc772e49167cda3,"Merge pull request #8900 from nhsiehgit/updatefooter

Updatefooter",,,,,,,,random_batch_18_nov_2020
nodatime/nodatime,158acfcc6037603d51f72769c5c507d8eaa52ebe,"Automatically-implemented properties and expression-bodied members for
Calendars and Text... which wraps up all the code in the NodaTime assembly,
I think. (The rest can be done opportunistically.)

We probably need to check these carefully - occasionally R# offered to convert
a property into an auto-prop when I wanted it to be expression-bodied instead
(e.g. for the constant patterns). It's possible I made the wrong choice in
some places...
",,,,,,,,random_batch_18_nov_2020
melonproject/protocol,9f861963f45ece6b0c5498c71afe727e2f1ef379,"Added a test case for secondary trading
",,,,,,,,random_batch_18_nov_2020
alphagov/paas-cf,dd45463a809728853e2c328586c4f4797a6b3c2b,"Merge requests and errors graph for apps and API

This makes it easier to see how the error rate compares to the overall
request rate.
",,,,,,,,random_batch_18_nov_2020
moodpulse/l2,616dee091f00ddfd2495ff60c44b763755c14b67,Create LICIENSE.txt,,,,,,,,random_batch_18_nov_2020
zcoinofficial/zcoin,99223a795d906ea18e6f944895c8079e5713f86f,"Fix comments
",,,,,,,,random_batch_18_nov_2020
endlessm/gnome-software,12de55149d5cc181a22c24e4454cb031c3159f12,"fwupd: Get the device name from the FwupdDevice
",,,,,,,,random_batch_18_nov_2020
KDE/kdenlive,92626c703586e25d5709eaa3e22c664020d15e59,"Rotoscoping timeline: mouse wheel can only move cursor.
Moving a keyframe might be somewhat unexpected.
A keyframe's position can be changed precisely since keyframes snap to the timeline cursor.

svn path=/trunk/kdenlive/; revision=5482
",,,,,,,,random_batch_18_nov_2020
llvm-mirror/clang,2d6f49f1ed1961635981ba593827b7c349198fdf,"Revert: [DebugInfo] Add debug location to stubs generated by CGDeclCXX and mark them as artificial

git-svn-id: ffe668792ed300d6c2daa1f6eba2e0aa28d7ec6c@371113 91177308-0d34-0410-b5e6-96231b3b80d8
",,,,,,,,random_batch_18_nov_2020
samba-team/samba,5c40f9cd9b59041b3382ec24a1091a60134dd8c5,"r10353: Fix typo
(This used to be commit b871ecbc2cf5ef2222e498f7819a06aa9082e155)
",,,,,,,,random_batch_18_nov_2020
TomHarte/CLK,108da64562cca02e0c86fc6d04c8028f6f90193e,"Fixed LD H, (HL) and LD L, (HL) by ensuring that whatever the subclass does goes to a temporary place before updating the address. Corrected the LD (IX+d), n machine cycle test for my new best-guess timing. This should leave only interrupt timing as currently amiss.
",,,,,,,,random_batch_18_nov_2020
aces/Loris,5cf1c30473c9c27320762ae1a8f75cf7288ca055,"Moved file
",,,,,,,,random_batch_18_nov_2020
apache/flink,6886f638d70419e01ebdfc1cdbb6d834f3fb30b0,"[FLINK-7553] Use new SinkFunction interface in FlinkKafkaProducer010
",,,,,,,,random_batch_18_nov_2020
wordpress-mobile/WordPress-iOS,198c9d075324e934f8ab469045d038cdcd165d94,"Merge branch 'develop' into fix/12951-stats-dark-mode
",,,,,,,,random_batch_18_nov_2020
commons-app/apps-android-commons,8addd10ef8177d730dd206fd02e1c447d2ae0fda,update PR quality,,,,,,,,random_batch_18_nov_2020
MichMich/MagicMirror,fefe5659d3eb624928070c1994136de4866f8d93,Merge branch 'develop' into dtreskunov/sun-and-moon,,,,,,,,random_batch_18_nov_2020
lamdu/lamdu,80da35c074cdfe50264fbf0f49074b7c77a86272,"No maxLines in TextEdit.make (You can always filter the resulting Models you don't like)
",,,,,,,,random_batch_18_nov_2020
opendevshop/devshop,42a15cf3330b19cd4da46fa1b5c814b84830055b,"Adding working_copy option to the install-devmaster command.
",,,,,,,,random_batch_18_nov_2020
kriztan/Pix-Art-Messenger,876b1149d548e88ef0342e125c676971bcf2fae9,"avoid double termination after failed connection
",,,,,,,,random_batch_18_nov_2020
c2mon/c2mon,d5525b9056e3aa60ba805a9c3ec3cbb0949cbbfd,"Increased version to 1.5.2-SNAPSHOT

",,,,,,,,random_batch_18_nov_2020
hail-is/hail,a8804c0ff8d70e531b9b64ebe02b11ba73e1c187,"[hail][sbt] update sbt scala version to gradle version (#8690)

",,,,,,,,random_batch_18_nov_2020
lightspark/lightspark,4908058a946570a324b8bfd42268420044498725,"Add String.search tests
",,,,,,,,random_batch_18_nov_2020
