,message,expected,justification,uncertain
231,"SG-230 Button component: V2 (#6138)

* Deprecated button

* Fix oopsies

* Fix missing deprecations

* Add theme and new button

* Add colors

* Add stylings

* Add margin to the icons

* Give space props to the button

* No funnnyh

* Reomve sketch story

* Add disabled

* Add story

* Add all variants

* Add subject and context support

* Add snapshots

* Fix unit-test

* Grr

* Add text colors

* Change borders for focus using inset shadow

* Fix width when saving

* Move styles to different file

* Better stories

* Better stories

* Add disabled tooltip and adjust tests and and and hi

* Why didnt the webstorm find this usage ffs

* Remove override stlying

* Revert story

* Hrrr

* Blod

* Fix missing screenshots

* Remove variant

* Grough

* Happens all the time

* Replace custom icons with string

* Fix unit test

* Remove conserving the button width on save and add width and subject props

* Fix another import

* Add tooltip placement

* Change secondary background

* Add font-family and enhance stories

* Adjust screenshots",TRUE,,
230,"SG-230 Colors V2 (#6109)

* Add colors and story and upgrade eslint typescript

* Remove old colors stories

* Remove all redundant core stories

* Deprecate old colors

* Add colors screenshot

* Prettify

* Fix App api prettier

* Prettify E2E

* Prettify app=admin

* Update screenshot and export correctly

* Fix linting app-frontend

* Fix linting

* Not funnyh",,,
229,"SG-230 Deprecating V1 button (#6081)

* Deprecated button

* Fix oopsies

* Fix missing deprecations

* Reomve sketch story

* Fix unit-test

* Grr

* Why didnt the webstorm find this usage ffs

* Revert story

* Hrrr

* Blod

* Fix another import",TRUE,,
15,SUPP-5566 Add eventId to speaker search,,,
54,SUPP-5592 secondary email,,,
123,SUPP-5624 Filter null values for audience filters,,,
226,"Track successful scan EP-4313 (#2568)

This pull request is a new feature

JIRA link: https://epsagon.atlassian.net/browse/EP-4313

## Short description of Change
adding mixpanel events for k8s new cluster integration (succeeded / failed)


## PR Checklist
### All Code Changes
- [V] Live environment test (`dev`)

### New feature
- [- ] New CI tests for the new feature different use cases - Will look into adding those

### New Service / Big Feature
- [N/A] Monitoring - adding analytics. Will monitor the next week or two manually, but I don't feel we need propriatery monitoring for it. WDYT?
  - [-] Alerts on possible errors - will look into it",,,
0,[EP-4233] Ignoring alerts with None values (#2557),,,
76,[FLOW-745] default flow theme button font weight to bold,,,
244,"[FLOW-776][FLOW-808] fix pages sidebar design + fix dropdown chevron  (#200)

* Fix hover on page row

* Add page hover design

* Add hover state for plus icon

* FLOW-776 fixes input hover state

* update hbui (fixes share tab subject input focus state)

* Fix FLOW-808

Co-authored-by: yuval-ron <yuvaly2394@gmail.com>",TRUE,,
126,[SUPP-5632] increase performance for sending sns/sqs messages when updating session during the agenda import,,,
127,[SUPP-5632] make async sending session updates,,,
137,[SUPP-5646] Unable to change session cap or make session visible,,,
141,[SUPP-5646] change response body from Session to SessionResponse due to startDate format conflict,,,
222,"reduce scan rate, change k8s resources ddb to on demand (#2566)

<!--- What types of changes does your code introduce? remove redundant: -->
This pull request is a bug fix

<!--- edit the jira link to the correct issue #: -->
JIRA link: https://epsagon.atlassian.net/browse/EP-4299

## Short description of Change
<!-- Describe your change in a few sentences -->


## PR Checklist
<!-- Remove sections that are irrelevant for your PR -->
### All Code Changes
- [ ] Live environment test (`dev`)
- [ ] In-code documentation

### Bug Fix
- [ ] CI test that reproduces bug and validates correct behaviour

### New feature
- [ ] New CI tests for the new feature different use cases
- [ ] Update `README` or `RUNBOOK` if required

### New Service / Big Feature
- [ ] `README`
- [ ] Monitoring
  - [ ] Alerts on possible errors
  - [ ] `RUNBOOK` updated with responses to these alerts
- [ ] Test on `meta`",,,
194,version:24.12.23; email:lior@honeybook.com; user:Lior Pesoa; message:GROWTH-722 Tools debt: Fix top nav transitions (+ GROWTH-717 Bug: Tools Button remains blur on FF)  (yaniv),TRUE,,
98,"version:24.13.10; email:lior@honeybook.com; user:Lior Pesoa; message:Creates a basic mailto [HON-13025]  (ian), GROWTH-753 Home screen and Membership Tab UI don’t reflect discount  (erez)",,,
277,"version:24.13.13; email:lior@honeybook.com; user:Lior Pesoa; message:(FLOW-816) Linked questions (#5926)  (dvir), Add tracking to main button  (erez), Fix wrong plan amount when switching plans  (erez), update workflow step worker execution time when changing project end date, not only project start date (#5951)  (eyal)",TRUE,,
116,version:24.13.16; email:lior@honeybook.com; user:Lior Pesoa; message:[HON-13036] schedule email send - selected time is in the past (#5958)  (dassi),,,
75,version:24.13.1; email:lior@honeybook.com; user:Lior Pesoa; message:[FLOW-745] default flow theme button font weight to bold  (uri),,,
24,"version:24.13.2; email:lior@honeybook.com; user:Lior Pesoa; message:GROWTH-731-tools-for-trialers  (yaniv), get the pricing plan from the subscription [GROWTH-718]  (erez)",,,
